subject,source,discourse_id,entity_amount,sentence_amount,positive,negative,share_rate
nw,wsj,wsj_1502,184,35,19,1,0.735294
nw,wsj,wsj_1984,265,34,19,1,0.484848
nw,xinhua,chtb_0142,143,31,19,1,0.633333
nw,xinhua,chtb_0258,142,32,19,1,0.806452
nw,wsj,wsj_0490,264,36,19,1,0.428571
nw,wsj,wsj_0595,219,37,19,1,0.527778
nw,wsj,wsj_0596,183,36,19,1,0.600000
nw,wsj,wsj_0616,150,36,19,1,0.828571
nw,wsj,wsj_1041,187,37,19,1,0.583333
nw,wsj,wsj_1044,287,39,19,1,0.578947
nw,wsj,wsj_1055,144,40,19,1,0.461538
nw,wsj,wsj_1147,234,36,19,1,0.600000
nw,wsj,wsj_1158,204,37,19,1,0.555556
nw,wsj,wsj_1163,261,37,19,1,0.555556
nw,wsj,wsj_1271,196,38,19,1,0.486486
nw,wsj,wsj_1307,197,37,19,1,0.388889
nw,wsj,wsj_1428,165,40,19,1,0.641026
nw,wsj,wsj_1448,222,39,19,1,0.552632
nw,wsj,wsj_1500,205,39,19,1,0.552632
nw,wsj,wsj_1506,204,36,19,1,0.800000
nw,wsj,wsj_1547,300,36,19,1,0.542857
nw,wsj,wsj_1730,268,37,19,1,0.416667
nw,wsj,wsj_1924,264,36,19,1,0.600000
nw,xinhua,chtb_0144,187,37,19,1,0.611111
nw,xinhua,chtb_0238,175,40,19,1,0.743590
nw,wsj,wsj_0283,303,42,19,1,0.585366
nw,wsj,wsj_0591,213,41,19,1,0.725000
nw,wsj,wsj_0592,227,44,19,1,0.558140
nw,wsj,wsj_0598,182,43,18,2,0.523810
nw,wsj,wsj_0804,153,44,19,1,0.697674
nw,wsj,wsj_1137,201,44,19,1,0.651163
nw,wsj,wsj_1174,197,42,19,1,0.487805
nw,wsj,wsj_1250,311,41,19,1,0.600000
nw,wsj,wsj_1274,240,45,19,1,0.522727
nw,wsj,wsj_1312,201,44,19,1,0.627907
nw,wsj,wsj_1323,174,43,19,1,0.357143
nw,wsj,wsj_1368,254,41,18,2,0.400000
nw,wsj,wsj_1373,216,44,19,1,0.627907
nw,wsj,wsj_1387,190,42,19,1,0.682927
nw,wsj,wsj_1435,227,45,19,1,0.431818
nw,wsj,wsj_1556,227,42,19,1,0.560976
nw,wsj,wsj_1566,190,43,19,1,0.642857
nw,wsj,wsj_1682,295,41,19,1,0.500000
nw,wsj,wsj_1946,259,44,19,1,0.651163
nw,wsj,wsj_2102,306,41,19,1,0.475000
nw,wsj,wsj_2136,294,41,19,1,0.425000
nw,xinhua,chtb_0072,226,44,19,1,0.627907
nw,wsj,wsj_0937,285,49,19,1,0.375000
